domain,flow,confirmed,evidence,login_url,final_url
pointpay.io,none,,ERR:hang,,
polkadot.network,none,,ERR:hang,,
poloniex.com,code,,response_type=code,https://poloniex.com/login,https://www.poloniex.com/login
pop.com,code,,response_type=code,https://pop.com/login,https://pop.com/login
positive.com,none,,,https://positive.com/login,https://positive.com/login
pragma.build,none,,ERR:hang,,
programmer.com,none,,ERR:unreachable,,
projectbalm.com,none,,,https://projectbalm.com/login,https://projectbalm.com/404.html
puffer.fi,none,,ERR:hang,,
pyth.network,none,,ERR:hang,,
quintoandar.com,none,,,,
quirk.com,none,,,,
quora.com,google_unknown,,gsi_only,https://quora.com/login,https://www.quora.com/
rabbit.com,none,,ERR:unreachable,,
raley.com,none,,,https://raley.com/login,https://raley.com/login
rambler-co.ru,none,,ERR:hang,,
randstad.in,none,,ERR:hang,,
raydium.io,none,,,https://raydium.io/login,https://raydium.io/swap/
razer.com,none,,ERR:hang,,
rea.com,none,,,https://studycenter.rea.com/site/login,https://studycenter.rea.com/site/login
recroom.com,none,,ERR:hang,,
redstone.finance,none,,ERR:hang,,
ref.finance,none,,ERR:hang,,
refined.com,none,,ERR:hang,,
release.com,code,,response_type=code,https://web.release.com/login,https://web.release.com/login
reserve.org,none,,ERR:hang,,
resolution.com,none,,ERR:hang,,
rhino.fi,none,,ERR:hang,,
risc.com,none,,,https://risc.com/login,https://risc.com/login
roblox.com,none,,ERR:hang,,
rocketpool.net,none,,ERR:hang,,
rogo.ai,code,,response_type=code,https://tryrogo.com,https://rogo-data-prod.us.auth0.com/u/login/identifier?state=hKFo2SBwYVpTcFAtbkw1cHJrWVhnZ0lrTzRobk1SRlQyZTdBVKFur3VuaXZlcnNhbC1sb2dpbqN0aWTZIHVnRDdERURDSWJqLTNQbzZiUkVNVzJZcDk0MDJLX1pIo2NpZNkgZFliZHU4aE9PeXMxM2RrYTJGUkVDT2VhNDR4cllaemE
root.com,none,,,https://account.joinroot.com,https://account.joinroot.com/login/password
rootstocklabs.com,none,,ERR:hang,,
royco.org,none,,,https://royco.org/login,https://www.royco.org/login
rubicon.finance,none,,,https://rubicon.finance/login,https://rubicon.finance/login
ruby-lang.org,none,,ERR:hang,,
rujira.network,none,,ERR:hang,,
rustore.com,none,,ERR:unreachable,,
rustore.ru,none,,ERR:hang,,
saasjet.com,none,,ERR:hang,,
safeheron.com,none,,,https://console.safeheron.com,https://console.safeheron.com/login
safeswap.io,none,,ERR:hang,,
safura.com,none,,,https://safura.com/login,https://www.safura.com/login
samokat.tech,none,,,https://samokat.tech/login,https://samokat.tech/login
santaclawz.ai,none,,,https://santaclawz.ai/login,https://www.santaclawz.ai/login
sberads.ru,none,,ERR:hang,,
scallop.io,none,,ERR:hang,,
scopely.com,none,,,https://scopely.com/login,https://www.scopely.com/login
scroll.io,none,,,https://scroll.io/login,https://scroll.io/login
scrypton.io,none,,ERR:unreachable,,
seamlessprotocol.com,none,,ERR:hang,,
securedrop.org,none,,,https://securedrop.org/login,https://securedrop.org/login/
secureflag.com,none,,,https://secureflag.com/login,https://www.secureflag.com/login
sei.io,none,,ERR:hang,,
serai.exchange,none,,,https://serai.exchange/login,https://serai.exchange/login
sgforge.com,none,,ERR:hang,,
shapeshift.com,none,,ERR:hang,,
shein.com,none,,ERR:hang,,
shipt.com,none,,ERR:hang,,
silo.finance,none,,ERR:hang,,
simscale.com,none,,ERR:hang,,
skoda.com,none,,,https://skoda.com/wp-login.php,https://skoda.com/wp-login.php
sky.com,none,,ERR:hang,,
sky.money,none,,ERR:hang,,
slickdeals.com,none,,ERR:hang,,
slideshare.com,none,,ERR:hang,,
slush.app,none,,ERR:hang,,
snowbridge.network,none,,ERR:hang,,
snowtrace.io,none,,,https://snowtrace.io/login,https://snowtrace.io/login
soex.com,none,,ERR:hang,,
soldevelo.com,none,,ERR:hang,,
solv.com,none,,,https://solv.com/login,https://solv.com/login
solv.finance,none,,ERR:hang,,
sora.org,none,,ERR:hang,,
soteri.com,none,,,,
soundtrack.io,none,,,https://app.soundtrack.io/login,https://app.soundtrack.io/login
spark.fi,none,,ERR:hang,,
spot.cash,none,,,https://spot.cash/login,https://www.spot.cash/login
sqills.com,none,,ERR:hang,,
ssv.network,none,,ERR:hang,,
stackingdao.com,none,,ERR:hang,,
stacks.org,none,,,https://stacks.org/login,https://stacks.foundation/
staderlabs.com,none,,,https://staderlabs.com/login,https://staderlabs.com/login
stagil.com,none,,ERR:hang,,
stakewise.io,none,,,https://stakewise.io/login,https://stakewise.io/login
stargate.finance,none,,,https://stargate.finance/login,https://stargate.finance/login
starknet.io,none,,,https://starknet.io/login,https://www.starknet.io/wp-login.php
starlink.com,none,,,https://starlink.com/login,https://starlink.com/login
status.app,none,,ERR:hang,,
